sqrt_s_GeV,mode,t_GeV2,dt_min_GeV2,dt_max_GeV2,dsig_dt_mb_GeV2,err_stat_plus,err_stat_minus,err_sys_plus,err_sys_minus,err_total_plus,err_total_minus,paper_ins
13.761,pbarp,0.3,0.0,0.0,2.93,0.29,0.29,0.0879,0.0879,0.3030287280110584,0.3030287280110584,ins110409
13.761,pbarp,0.35,0.0,0.0,1.57,0.39,0.39,0.0471,0.0471,0.3928338198271631,0.3928338198271631,ins110409
13.761,pbarp,0.4,0.0,0.0,0.92,0.17,0.17,0.0276,0.0276,0.17222589816865524,0.17222589816865524,ins110409
13.761,pbarp,0.45,0.0,0.0,0.59,0.12,0.12,0.017699999999999997,0.017699999999999997,0.12129835118417727,0.12129835118417727,ins110409
13.761,pbarp,0.5,0.0,0.0,0.3,0.1,0.1,0.009,0.009,0.1004041831797859,0.1004041831797859,ins110409
13.761,pbarp,0.65,0.0,0.0,0.11,0.09,0.09,0.0033,0.0033,0.09006047967893575,0.09006047967893575,ins110409
13.761,pbarp,0.75,0.0,0.0,0.14,0.17,0.17,0.004200000000000001,0.004200000000000001,0.17005187443836073,0.17005187443836073,ins110409
16.261,pp,0.0375,0.0,0.0,51.3,1.39,1.39,1.539,1.539,2.073793866323266,2.073793866323266,ins110409
16.261,pp,0.075,0.0,0.0,32.93,0.62,0.62,0.9879,0.9879,1.1663388915748287,1.1663388915748287,ins110409
16.261,pp,0.11,0.0,0.0,23.17,0.87,0.87,0.6951,0.6951,1.113581613533557,1.113581613533557,ins110409
16.261,pp,0.13,0.0,0.0,17.22,0.45,0.45,0.5166,0.5166,0.6851098889959186,0.6851098889959186,ins110409
16.261,pp,0.15,0.0,0.0,14.74,0.69,0.69,0.4422,0.4422,0.8195369668294408,0.8195369668294408,ins110409
16.261,pp,0.17,0.0,0.0,11.63,0.34,0.34,0.3489,0.3489,0.4871665115748413,0.4871665115748413,ins110409
16.261,pp,0.2,0.0,0.0,8.86,0.24,0.24,0.2658,0.2658,0.35811958896435697,0.35811958896435697,ins110409
16.261,pp,0.25,0.0,0.0,5.51,0.26,0.26,0.16529999999999997,0.16529999999999997,0.3080975332585446,0.3080975332585446,ins110409
16.261,pp,0.3,0.0,0.0,3.21,0.1,0.1,0.0963,0.0963,0.13882971583922515,0.13882971583922515,ins110409
16.261,pp,0.35,0.0,0.0,2.0,0.07,0.07,0.06,0.06,0.09219544457292887,0.09219544457292887,ins110409
16.261,pp,0.4,0.0,0.0,1.28,0.03,0.03,0.0384,0.0384,0.04872945721019268,0.04872945721019268,ins110409
16.261,pp,0.45,0.0,0.0,0.79,0.03,0.03,0.0237,0.0237,0.03823205461389696,0.03823205461389696,ins110409
16.261,pp,0.5,0.0,0.0,0.54,0.02,0.02,0.0162,0.0162,0.025737909783041826,0.025737909783041826,ins110409
16.261,pp,0.55,0.0,0.0,0.35,0.02,0.02,0.010499999999999999,0.010499999999999999,0.022588713996153035,0.022588713996153035,ins110409
16.261,pp,0.6,0.0,0.0,0.21,0.01,0.01,0.006299999999999999,0.006299999999999999,0.011819052415485769,0.011819052415485769,ins110409
16.261,pp,0.65,0.0,0.0,0.13,0.01,0.01,0.0039,0.0039,0.010733592129385204,0.010733592129385204,ins110409
16.261,pp,0.7,0.0,0.0,0.09,0.01,0.01,0.0026999999999999997,0.0026999999999999997,0.010358088626768937,0.010358088626768937,ins110409
16.261,pp,0.75,0.0,0.0,0.06,0.01,0.01,0.0018,0.0018,0.01016070863670443,0.01016070863670443,ins110409
16.261,pp,0.8,0.0,0.0,0.06,0.01,0.01,0.0018,0.0018,0.01016070863670443,0.01016070863670443,ins110409
16.261,pbarp,0.075,0.0,0.0,36.06,1.42,1.42,1.0818,1.0818,1.7851305946624745,1.7851305946624745,ins110409
16.261,pbarp,0.11,0.0,0.0,24.12,2.02,2.02,0.7236,0.7236,2.145692652734776,2.145692652734776,ins110409
